2025-08-11 18:05:09.735 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:05:09.740 [main] INFO  c.a.engine.ConversationManager - Created new user state: test_user
2025-08-11 18:05:09.741 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user test_user: interests=[technology, fashion], blocked=[gambling]
2025-08-11 18:05:09.741 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation test_conv: I need a new smartphone
2025-08-11 18:05:09.756 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: test_conv
2025-08-11 18:05:09.763 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation test_conv: mood=EXCITED, intents=[technology]
2025-08-11 18:05:09.767 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation test_conv
2025-08-11 18:05:09.768 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation test_conv: Latest Smartphone (score: 0.8400000000000001)
2025-08-11 18:05:09.769 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:05:09.771 [main] INFO  c.a.engine.ConversationManager - Created new user state: analytics_user
2025-08-11 18:05:09.771 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user analytics_user: interests=[technology], blocked=[]
2025-08-11 18:05:09.771 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation analytics_conv: I need a smartphone
2025-08-11 18:05:09.772 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: analytics_conv
2025-08-11 18:05:09.773 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation analytics_conv: mood=EXCITED, intents=[technology]
2025-08-11 18:05:09.773 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation analytics_conv
2025-08-11 18:05:09.773 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation analytics_conv: Latest Smartphone (score: 0.8400000000000001)
2025-08-11 18:05:09.774 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation analytics_conv: I'm excited about new tech
2025-08-11 18:05:09.774 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation analytics_conv: mood=EXCITED, intents=[technology]
2025-08-11 18:05:09.774 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation analytics_conv
2025-08-11 18:05:09.774 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation analytics_conv: Latest Smartphone (score: 0.8400000000000001)
2025-08-11 18:05:09.775 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:05:09.777 [main] INFO  c.a.engine.ConversationManager - Created new user state: stats_user
2025-08-11 18:05:09.777 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user stats_user: interests=[technology], blocked=[]
2025-08-11 18:05:09.777 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation stats_conv1: I need a phone
2025-08-11 18:05:09.778 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: stats_conv1
2025-08-11 18:05:09.778 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation stats_conv1: mood=EXCITED, intents=[technology]
2025-08-11 18:05:09.778 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation stats_conv1
2025-08-11 18:05:09.778 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation stats_conv1: Latest Smartphone (score: 0.8400000000000001)
2025-08-11 18:05:09.779 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation stats_conv2: I love technology
2025-08-11 18:05:09.779 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: stats_conv2
2025-08-11 18:05:09.779 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation stats_conv2: mood=POSITIVE, intents=[technology]
2025-08-11 18:05:09.779 [main] INFO  c.a.engine.AdMatchingEngine - Found 0 relevant ads for conversation stats_conv2
2025-08-11 18:05:09.779 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - No relevant ads found for conversation stats_conv2
2025-08-11 18:05:09.780 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:05:09.782 [main] INFO  c.a.engine.ConversationManager - Created new user state: test_user
2025-08-11 18:05:09.782 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user test_user: interests=[technology], blocked=[]
2025-08-11 18:05:09.782 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation test_conv: I need a new phone
2025-08-11 18:05:09.782 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: test_conv
2025-08-11 18:05:09.782 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation test_conv: mood=EXCITED, intents=[technology]
2025-08-11 18:05:09.782 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation test_conv
2025-08-11 18:05:09.782 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation test_conv: Latest Smartphone (score: 0.8400000000000001)
2025-08-11 18:05:09.782 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing ad response for conversation test_conv: Yes, that looks great!
2025-08-11 18:05:09.783 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation test_conv
2025-08-11 18:05:09.791 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing ad response for conversation test_conv: No, not interested
2025-08-11 18:05:09.794 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation test_conv
2025-08-11 18:05:09.795 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:05:09.796 [main] INFO  c.a.engine.ConversationManager - Created new user state: fashion_user
2025-08-11 18:05:09.797 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user fashion_user: interests=[fashion, style], blocked=[]
2025-08-11 18:05:09.797 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv: I'm looking for summer clothes
2025-08-11 18:05:09.797 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: fashion_conv
2025-08-11 18:05:09.797 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv: mood=EXCITED, intents=[]
2025-08-11 18:05:09.798 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv
2025-08-11 18:05:09.798 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv: Summer Collection (score: 0.6000000000000001)
2025-08-11 18:05:09.799 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv: I love trendy styles
2025-08-11 18:05:09.800 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv: mood=POSITIVE, intents=[]
2025-08-11 18:05:09.800 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv
2025-08-11 18:05:09.800 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv: Summer Collection (score: 0.9900000000000001)
2025-08-11 18:05:09.801 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:05:09.802 [main] INFO  c.a.engine.ConversationManager - Created new user state: travel_user
2025-08-11 18:05:09.802 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user travel_user: interests=[travel, vacation], blocked=[]
2025-08-11 18:05:09.802 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation travel_conv: I'm planning a vacation to somewhere amazing
2025-08-11 18:05:09.803 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: travel_conv
2025-08-11 18:05:09.803 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation travel_conv: mood=POSITIVE, intents=[travel]
2025-08-11 18:05:09.803 [main] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation travel_conv
2025-08-11 18:05:09.803 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation travel_conv: Dream Vacation (score: 0.4)
2025-08-11 18:05:22.445 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:05:22.458 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.ConversationManager - Created new user state: demo_user_001
2025-08-11 18:05:22.459 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user demo_user_001: interests=[technology, fashion, travel, food], blocked=[gambling, alcohol]
2025-08-11 18:05:22.461 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv_001: I'm looking for some new summer clothes
2025-08-11 18:05:22.474 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.ConversationManager - Created new conversation context: fashion_conv_001
2025-08-11 18:05:22.484 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=NEUTRAL, intents=[]
2025-08-11 18:05:22.488 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:05:22.489 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv_001: Summer Collection (score: 0.39)
2025-08-11 18:05:23.499 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv_001: I love trendy styles and bright colors
2025-08-11 18:05:23.502 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=POSITIVE, intents=[]
2025-08-11 18:05:23.504 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:05:23.506 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv_001: Summer Collection (score: 0.9900000000000001)
2025-08-11 18:05:24.512 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv_001: Do you have any recommendations for summer fashion?
2025-08-11 18:05:24.518 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=POSITIVE, intents=[]
2025-08-11 18:05:24.520 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
